id,nome,ingredientes,modo_preparo,tempo_preparo,dificuldade,categoria,deleted
1,Feijoada Rápida,"cebola, manjericão, leite condensado, leite, sal, creme de leite, carne moída, fermento em pó, chocolate em pó, batata",Leve ao forno pré-aquecido a 180°C por 30 minutos. Incorpore a farinha aos poucos e misture bem. Adicione o leite e a manteiga derretida à mistura. Bata os ovos com o açúcar até formar um creme claro.,82,Fácil,Sobremesa,False
2,Escondidinho com Cobertura,"ovos, leite condensado, farinha de trigo, manjericão, manteiga, pimenta do reino, açúcar",Deixe esfriar antes de desenformar e finalizar com o recheio. Bata os ovos com o açúcar até formar um creme claro. Sirva quente com acompanhamento de sua preferência. Adicione o leite e a manteiga derretida à mistura. Despeje a massa em uma forma untada e enfarinhada.,18,Difícil,Prato Principal,False
3,Feijoada de Chocolate,"leite condensado, chocolate em pó, arroz, farinha de trigo, alho",Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Deixe esfriar antes de desenformar e finalizar com o recheio. Incorpore a farinha aos poucos e misture bem. Misture todos os ingredientes secos em uma tigela grande.,83,Média,Lanche,False
4,Peixe Especial,"manteiga, queijo muçarela, leite, leite condensado, fermento em pó, arroz, azeite",Misture todos os ingredientes secos em uma tigela grande. Incorpore a farinha aos poucos e misture bem. Deixe esfriar antes de desenformar e finalizar com o recheio. Refogue o alho e a cebola no azeite até dourarem.,65,Fácil,Sobremesa,False
5,Pudim na Manteiga,"açúcar, queijo muçarela, batata, creme de leite, manjericão, leite condensado, farinha de trigo",Deixe esfriar antes de desenformar e finalizar com o recheio. Bata os ovos com o açúcar até formar um creme claro. Leve ao forno pré-aquecido a 180°C por 30 minutos. Misture todos os ingredientes secos em uma tigela grande. Refogue o alho e a cebola no azeite até dourarem.,15,Fácil,Entrada,False
6,Feijoada na Manteiga,"açúcar, batata, leite condensado, pimenta do reino, manteiga, arroz, sal, farinha de trigo, chocolate em pó",Refogue o alho e a cebola no azeite até dourarem. Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o ingrediente principal e deixe cozinhar por 10 minutos.,63,Média,Lanche,False
7,Frango com Cobertura,"feijão, arroz, creme de leite, manjericão, farinha de trigo",Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o leite e a manteiga derretida à mistura. Sirva quente com acompanhamento de sua preferência.,75,Fácil,Sobremesa,False
8,Feijoada com Cobertura,"azeite, açúcar, creme de leite, fermento em pó, queijo muçarela, leite condensado, pimenta do reino",Refogue o alho e a cebola no azeite até dourarem. Despeje a massa em uma forma untada e enfarinhada. Incorpore a farinha aos poucos e misture bem.,13,Difícil,Entrada,False
9,Frango Especial,"manteiga, açúcar, cebola, feijão, batata, alho, carne moída",Sirva quente com acompanhamento de sua preferência. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Adicione o leite e a manteiga derretida à mistura. Deixe esfriar antes de desenformar e finalizar com o recheio.,85,Difícil,Prato Principal,False
10,Sopa de Chocolate,"carne moída, leite, farinha de trigo, feijão, pimenta do reino, cebola",Despeje a massa em uma forma untada e enfarinhada. Bata os ovos com o açúcar até formar um creme claro. Leve ao forno pré-aquecido a 180°C por 30 minutos.,31,Média,Entrada,False
11,Mousse com Cobertura,"cebola, manteiga, manjericão, leite condensado, frango desfiado, chocolate em pó, arroz",Despeje a massa em uma forma untada e enfarinhada. Bata os ovos com o açúcar até formar um creme claro. Refogue o alho e a cebola no azeite até dourarem. Incorpore a farinha aos poucos e misture bem.,18,Fácil,Sobremesa,False
12,Frango na Manteiga,"leite, ovos, arroz, farinha de trigo, leite condensado",Misture todos os ingredientes secos em uma tigela grande. Sirva quente com acompanhamento de sua preferência. Bata os ovos com o açúcar até formar um creme claro. Deixe esfriar antes de desenformar e finalizar com o recheio. Adicione o ingrediente principal e deixe cozinhar por 10 minutos.,58,Fácil,Lanche,False
13,Salada com Cobertura,"açúcar, leite condensado, chocolate em pó, ovos, alho, frango desfiado, pimenta do reino, manteiga, arroz",Refogue o alho e a cebola no azeite até dourarem. Despeje a massa em uma forma untada e enfarinhada. Bata os ovos com o açúcar até formar um creme claro. Misture todos os ingredientes secos em uma tigela grande. Adicione o ingrediente principal e deixe cozinhar por 10 minutos.,76,Média,Lanche,False
14,Pudim de Chocolate,"frango desfiado, creme de leite, ovos, cebola, manjericão, arroz, leite, leite condensado, manteiga",Refogue o alho e a cebola no azeite até dourarem. Leve ao forno pré-aquecido a 180°C por 30 minutos. Sirva quente com acompanhamento de sua preferência. Bata os ovos com o açúcar até formar um creme claro. Deixe esfriar antes de desenformar e finalizar com o recheio.,41,Difícil,Sobremesa,False
15,Bolo com Cobertura,"frango desfiado, creme de leite, tomate, ovos, arroz, pimenta do reino, alho, azeite, açúcar",Deixe esfriar antes de desenformar e finalizar com o recheio. Despeje a massa em uma forma untada e enfarinhada. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Adicione o leite e a manteiga derretida à mistura. Refogue o alho e a cebola no azeite até dourarem.,58,Difícil,Sobremesa,False
16,Sopa na Manteiga,"sal, queijo muçarela, fermento em pó, frango desfiado, alho, cebola",Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Incorpore a farinha aos poucos e misture bem. Deixe esfriar antes de desenformar e finalizar com o recheio.,101,Média,Entrada,False
17,Frango Especial,"frango desfiado, batata, arroz, tomate, azeite, manjericão, feijão",Misture todos os ingredientes secos em uma tigela grande. Bata os ovos com o açúcar até formar um creme claro. Leve ao forno pré-aquecido a 180°C por 30 minutos.,100,Fácil,Sobremesa,False
18,Escondidinho na Manteiga,"arroz, leite, pimenta do reino, batata, creme de leite, leite condensado",Bata os ovos com o açúcar até formar um creme claro. Adicione o leite e a manteiga derretida à mistura. Despeje a massa em uma forma untada e enfarinhada.,21,Fácil,Entrada,False
19,Escondidinho Cremoso,"chocolate em pó, azeite, queijo muçarela, creme de leite, açúcar, batata, frango desfiado",Despeje a massa em uma forma untada e enfarinhada. Adicione o ingrediente principal e deixe cozinhar por 10 minutos. Bata os ovos com o açúcar até formar um creme claro. Sirva quente com acompanhamento de sua preferência. Leve ao forno pré-aquecido a 180°C por 30 minutos.,32,Fácil,Sobremesa,False
